Date/Time,Latitude,Longitude,Hail size,Damage total,Insurance payout,Number of deaths,Number of injuries,
2007-10-08 05:50:00,-28.8000,153.2800,2.5,0,0,0,0,
2007-10-08 05:50:00,-28.8300,153.0500,2.0,0,0,0,0,
2007-10-08 05:50:00,-29.1000,153.4300,2.0,0,0,0,0,
2007-10-08 05:55:00,-28.8600,153.2000,6.0,0,0,0,0,
2007-10-08 06:10:00,-28.7800,153.3800,2.5,0,0,0,0,
2007-10-08 06:30:00,-28.8000,153.3200,3.0,0,0,0,0,
2007-10-08 06:35:00,-28.9800,153.2800,2.5,0,0,0,0,
2007-10-09 03:00:00,-29.6700,152.9300,3.0,0,0,0,0,
2007-10-09 03:01:00,-29.6700,152.9300,4.4,0,0,0,0,
2007-10-09 03:10:00,-29.6700,152.9300,2.0,0,0,0,0,
2007-10-09 03:35:00,-28.8000,153.2800,6.0,0,0,0,0,
2007-10-09 03:40:00,-28.8000,153.2800,6.0,0,0,0,0,
2007-10-09 03:40:00,-28.8000,153.2500,3.0,0,0,0,0,
2007-10-09 03:40:00,-28.8000,153.3200,4.0,0,0,0,0,
2007-10-09 03:41:00,-28.8000,153.3200,4.4,0,0,0,0,
2007-10-09 03:45:00,-28.8000,153.2800,3.0,0,0,0,0,
2007-10-09 03:50:00,-28.7800,153.7200,3.0,0,0,0,0,
2007-10-09 04:00:00,-28.6800,153.3600,4.4,0,0,0,0,
2007-10-09 04:00:00,-28.7200,153.4000,6.5,0,0,0,0,
2007-10-09 04:09:00,-28.7700,153.3500,4.4,0,0,0,0,
2007-10-09 05:00:00,-28.6800,153.3700,4.4,0,0,0,0,
2007-10-12 00:00:00,-34.0300,150.6800,4.4,0,0,0,0,
2007-10-12 00:20:00,-34.0700,151.0200,2.0,0,0,0,0,
2007-10-12 03:45:00,-33.4700,151.3500,2.0,0,0,0,0,
2007-10-25 08:00:00,-30.6300,151.4800,2.5,0,0,0,0,
2007-10-26 04:25:00,-28.9200,153.1700,4.0,0,0,0,0,
2007-10-28 07:30:00,-34.8200,147.3300,3.5,0,0,0,0,
2007-10-28 09:30:00,-33.9000,147.2300,3.5,0,0,0,0,
2007-10-29 04:35:00,-28.8200,153.2800,2.0,0,0,0,0,
2007-11-18 06:00:00,-34.7000,150.0000,2.0,0,0,0,0,
2007-12-03 03:30:00,-32.5800,151.7800,3.8,0,0,0,0,
2007-12-03 04:30:00,-32.9200,151.7800,2.4,0,0,0,0,
2007-12-03 05:00:00,-32.0300,152.2700,2.0,0,0,0,0,
2007-12-04 03:10:00,-33.7200,151.1500,2.4,0,0,0,0,
2007-12-04 04:50:00,-33.2000,151.5700,2.5,0,0,0,0,
2007-12-05 08:00:00,-32.7000,148.0500,2.5,0,0,0,0,
2007-12-09 04:00:00,-33.6900,151.0900,4.4,0,0,0,0,
2007-12-09 04:30:00,-33.7700,150.8700,4.4,0,0,0,0,
2007-12-09 04:30:00,-33.7900,150.9400,6.0,0,0,0,0,
2007-12-09 04:30:00,-33.7900,150.9000,3.0,0,0,0,0,
2007-12-09 04:30:00,-33.7500,151.1100,2.0,0,0,0,0,
2007-12-09 04:30:00,-33.7900,150.9600,4.0,0,0,0,0,
2007-12-09 04:30:00,-33.7100,151.0000,8.0,0,0,0,0,
2007-12-09 04:35:00,-33.8100,150.9500,4.0,0,0,0,0,
2007-12-09 04:35:00,-33.7700,150.9100,8.0,0,0,0,0,
2007-12-09 04:40:00,-33.7900,151.0300,5.0,0,0,0,0,
